 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.4300  21.0000   0.3591   4.8248  0.22143E+02  0.22141E+02  0.20287E-02  0.22603E+02  0.10210E-03  0.15314E+00  0.22450E+02  0.10019E+01
   10.5890   3.4400  21.0000   0.3607   4.8388  0.22000E+02  0.21998E+02  0.20419E-02  0.22431E+02  0.99950E-04  0.14997E+00  0.22281E+02  0.10020E+01
   10.5890   3.4500  21.0000   0.3622   4.8529  0.21859E+02  0.21856E+02  0.20554E-02  0.22260E+02  0.97889E-04  0.14705E+00  0.22113E+02  0.10020E+01
   10.5890   3.4600  21.0000   0.3638   4.8670  0.21717E+02  0.21715E+02  0.20689E-02  0.22089E+02  0.95909E-04  0.14418E+00  0.21944E+02  0.10020E+01
   10.5890   3.4700  21.0000   0.3654   4.8810  0.21576E+02  0.21574E+02  0.20826E-02  0.21918E+02  0.94003E-04  0.14124E+00  0.21777E+02  0.10020E+01
   10.5890   3.4800  21.0000   0.3669   4.8951  0.21435E+02  0.21433E+02  0.20965E-02  0.21750E+02  0.92163E-04  0.13847E+00  0.21611E+02  0.10020E+01
   10.5890   3.4900  21.0000   0.3685   4.9092  0.21295E+02  0.21293E+02  0.21105E-02  0.21582E+02  0.90384E-04  0.13579E+00  0.21446E+02  0.10020E+01
   10.5890   3.5000  21.0000   0.3701   4.9232  0.21155E+02  0.21153E+02  0.21246E-02  0.21413E+02  0.88657E-04  0.13317E+00  0.21280E+02  0.10020E+01
   10.5890   3.5100  21.0000   0.3717   4.9373  0.21015E+02  0.21013E+02  0.21389E-02  0.21246E+02  0.86980E-04  0.13060E+00  0.21115E+02  0.10020E+01
   10.5890   3.5200  21.0000   0.3733   4.9514  0.20876E+02  0.20874E+02  0.21534E-02  0.21080E+02  0.85345E-04  0.12810E+00  0.20952E+02  0.10020E+01
   10.5890   3.5300  21.0000   0.3748   4.9654  0.20737E+02  0.20735E+02  0.21680E-02  0.20915E+02  0.83750E-04  0.12570E+00  0.20790E+02  0.10020E+01
   10.5890   3.5400  21.0000   0.3764   4.9795  0.20599E+02  0.20597E+02  0.21828E-02  0.20751E+02  0.82189E-04  0.12329E+00  0.20628E+02  0.10020E+01
   10.5890   3.5500  21.0000   0.3780   4.9935  0.20461E+02  0.20458E+02  0.21977E-02  0.20587E+02  0.80662E-04  0.12093E+00  0.20466E+02  0.10020E+01
   10.5890   3.5600  21.0000   0.3796   5.0076  0.20322E+02  0.20320E+02  0.22128E-02  0.20423E+02  0.79161E-04  0.11862E+00  0.20305E+02  0.10020E+01
   10.5890   3.5700  21.0000   0.3813   5.0217  0.20180E+02  0.20178E+02  0.22279E-02  0.20258E+02  0.77686E-04  0.11636E+00  0.20142E+02  0.10021E+01
   10.5890   3.5800  21.0000   0.3829   5.0357  0.20039E+02  0.20037E+02  0.22433E-02  0.20093E+02  0.76235E-04  0.11415E+00  0.19979E+02  0.10021E+01
   10.5890   3.5900  21.0000   0.3845   5.0498  0.19898E+02  0.19896E+02  0.22589E-02  0.19929E+02  0.74803E-04  0.11198E+00  0.19817E+02  0.10021E+01
   10.5890   3.6000  21.0000   0.3861   5.0639  0.19757E+02  0.19755E+02  0.22747E-02  0.19766E+02  0.73389E-04  0.10987E+00  0.19657E+02  0.10021E+01
   10.5890   3.6100  21.0000   0.3877   5.0779  0.19617E+02  0.19615E+02  0.22907E-02  0.19604E+02  0.71992E-04  0.10780E+00  0.19496E+02  0.10021E+01
   10.5890   3.6200  21.0000   0.3894   5.0920  0.19477E+02  0.19475E+02  0.23068E-02  0.19442E+02  0.70609E-04  0.10578E+00  0.19336E+02  0.10021E+01
   10.5890   3.6300  21.0000   0.3910   5.1061  0.19338E+02  0.19336E+02  0.23231E-02  0.19281E+02  0.69242E-04  0.10392E+00  0.19177E+02  0.10021E+01
   10.5890   3.6400  21.0000   0.3926   5.1201  0.19199E+02  0.19197E+02  0.23396E-02  0.19121E+02  0.67887E-04  0.10197E+00  0.19019E+02  0.10022E+01
